date,time,message
2017-08-26,12:13:10.650,send 1286144 / 1461450
2017-08-26,12:13:10.650,send 1294336 / 1461450
2017-08-26,12:13:10.651,send 1302528 / 1461450
2017-08-26,12:13:10.652,send 1310720 / 1461450
2017-08-26,12:13:10.652,send 1318912 / 1461450
2017-08-26,12:13:10.653,send 1327104 / 1461450
2017-08-26,12:13:10.654,send 1335296 / 1461450
2017-08-26,12:13:10.666,send 1343488 / 1461450
2017-08-26,12:13:10.688,send 1351680 / 1461450
2017-08-26,12:13:10.688,send 1359872 / 1461450
2017-08-26,12:13:10.690,send 1368064 / 1461450
2017-08-26,12:13:10.941,send 1376256 / 1461450
2017-08-26,12:13:10.941,send 1384448 / 1461450
2017-08-26,12:13:10.941,send 1392640 / 1461450
2017-08-26,12:13:10.942,send 1400832 / 1461450
2017-08-26,12:13:10.942,send 1409024 / 1461450
2017-08-26,12:13:10.942,send 1417216 / 1461450
2017-08-26,12:13:10.943,send 1425408 / 1461450
2017-08-26,12:13:10.973,send 1433600 / 1461450
2017-08-26,12:13:10.973,send 1441792 / 1461450
2017-08-26,12:13:10.973,send 1449984 / 1461450
2017-08-26,12:13:10.974,send 1458176 / 1461450
2017-08-26,12:13:10.974,send 1461450 / 1461450
2017-08-26,12:13:11.996,start send upgrade finished pack
2017-08-26,12:13:12.000,check sum data: <d41d8cd9 8f00b204 e9800998 ecf8427e>
2017-08-26,12:13:12.164,push upgrade progress: 1%
2017-08-26,12:13:13.165,push upgrade progress: 1%
2017-08-26,12:13:13.268,push upgrade progress: 95%
2017-08-26,12:13:15.282,push upgrade progress: 95%
2017-08-26,12:13:16.480,push upgrade progress: 100%
2017-08-26,12:13:46.243,disconnect service
2017-08-26,12:13:46.244,wating connect state 0 => 1
