date,time,message
2018-09-26,11:55:48.462,"get version list result, errorCode:0, desc: (null), with URL: https://mydjiflight.dji.com/getfile/getallfile, data: [{""product_version"":""01.00.0100"",""flow"":""formal"",""released_time"":""2017-12-18"",""release_note"":{""en"":""""}},{""product_version"":""01.00.0200"",""flow"":""formal"",""released_time"":""2018-02-08"",""release_note"":{""en"":""""}},{""product_version"":""01.00.0300"",""flow"":""formal"",""released_time"":""2018-04-26"",""release_note"":{""en"":""""}},{""product_version"":""01.00.0400"",""flow"":""formal"",""released_time"":""2018-05-09"",""release_note"":{""en"":""""}},{""product_version"":""01.00.0500"",""flow"":""formal"",""released_time"":""2018-06-27"",""release_note"":{""en"":""""}},{""product_version"":""01.00.0600"",""flow"":""formal"",""released_time"":""2018-08-25"",""release_note"":{""en"":""""}}"
2018-09-26,11:55:48.474,"fetching cfg version:01.00.0600,product name:gl811, url:https://mydjiflight.dji.com/getfile/download"
2018-09-26,11:55:50.538,fetching version for gl811
2018-09-26,11:55:50.538,fetching version list using url :https://mydjiflight.dji.com/getfile/getallfile
2018-09-26,11:55:51.604,"get version list result, errorCode:0, desc: (null), with URL: https://mydjiflight.dji.com/getfile/getallfile, data: [{""product_version"":""01.00.0100"",""flow"":""formal"",""released_time"":""2017-12-18"",""release_note"":{""en"":""""}},{""product_version"":""01.00.0200"",""flow"":""formal"",""released_time"":""2018-02-08"",""release_note"":{""en"":""""}},{""product_version"":""01.00.0300"",""flow"":""formal"",""released_time"":""2018-04-26"",""release_note"":{""en"":""""}},{""product_version"":""01.00.0400"",""flow"":""formal"",""released_time"":""2018-05-09"",""release_note"":{""en"":""""}},{""product_version"":""01.00.0500"",""flow"":""formal"",""released_time"":""2018-06-27"",""release_note"":{""en"":""""}},{""product_version"":""01.00.0600"",""flow"":""formal"",""released_time"":""2018-08-25"",""release_note"":{""en"":""""}}"
2018-09-26,11:55:51.616,"fetching cfg version:01.00.0600,product name:gl811, url:https://mydjiflight.dji.com/getfile/download"
2018-09-26,11:55:54.301,"fetching cfg version:01.00.0500,product name:gl811, url:https://mydjiflight.dji.com/getfile/download"
2018-09-26,11:55:56.590,"fetching cfg version:01.00.0400,product name:gl811, url:https://mydjiflight.dji.com/getfile/download"
2018-09-26,11:55:58.061,"fetching cfg version:01.00.0300,product name:gl811, url:https://mydjiflight.dji.com/getfile/download"
2018-09-26,11:56:00.054,"fetching cfg version:01.00.0200,product name:gl811, url:https://mydjiflight.dji.com/getfile/download"
2018-09-26,11:56:00.917,"fetching cfg version:01.00.0100,product name:gl811, url:https://mydjiflight.dji.com/getfile/download"
2018-09-26,11:56:01.952,check upgrade for 1301
2018-09-26,11:56:01.954,"server pack version : 01.00.0000 , device pack version : 01.00.0000 , isBigger:0"
2018-09-26,11:56:01.954,check upgrade for 0801
2018-09-26,11:56:01.956,"server pack version : 01.00.0000 , device pack version : 01.00.0000 , isBigger:0"
2018-09-26,11:56:07.958,set upgrader to nil because need upgrade group count is 0.
2018-09-26,12:03:45.815,set upgrader to nil because need upgrade group count is 0.
2018-09-26,12:03:51.901,set upgrader to nil because need upgrade group count is 0.
