"Name","Modified Time","Change Time","Access Time","Created Time","Size","Flags(Dir)","Flags(Meta)","Known","Location","MD5 Hash","SHA-256 Hash","MIME Type","Extension"
"log-2017-08-03.txt","2017-08-04 05:10:01 ICT","2017-08-04 05:21:29 ICT","2017-08-04 04:55:08 ICT","2017-08-04 04:55:08 ICT","2588","Allocated","Allocated","unknown","/img_DF011_flight.001/media/0/DJI/dji.pilot/LOG/CACHE/SYNC/log-2017-08-03.txt","7662a10f4d958559cda7df5d25cd522c","cc8b69f92b9955a42bfd256fd3d0610125cb20e53c8b5adbd05be18fb0932338","text/plain","txt"
"log-2017-08-03.txt","2017-08-04 04:59:00 ICT","2017-08-04 05:21:29 ICT","2017-08-04 04:55:09 ICT","2017-08-04 04:55:09 ICT","855","Allocated","Allocated","unknown","/img_DF011_flight.001/media/0/DJI/dji.pilot/LOG/CACHE/VerPhone/log-2017-08-03.txt","bdd369380da5e55238a5313c5226eecd","6f4676a75d5c67400555f4a9316fb9da6aa96446d79c8eb9b8a0954068dfe8c3","text/plain","txt"
"log-2017-08-03.txt","2017-08-04 05:10:03 ICT","2017-08-04 05:21:29 ICT","2017-08-04 04:55:10 ICT","2017-08-04 04:55:10 ICT","432","Allocated","Allocated","unknown","/img_DF011_flight.001/media/0/DJI/dji.pilot/LOG/CACHE/UP_Default/log-2017-08-03.txt","c3d8b5edc22fa21569588ef2a6b21764","dc110ff2d0f114e5104cf0cd998f74c37fe1ee48618925bf17c02808717d4f67","text/plain","txt"
"log-2017-08-03.txt","2017-08-04 04:58:44 ICT","2017-08-04 05:21:29 ICT","2017-08-04 04:55:10 ICT","2017-08-04 04:55:10 ICT","160","Allocated","Allocated","unknown","/img_DF011_flight.001/media/0/DJI/dji.pilot/LOG/CACHE/active/log-2017-08-03.txt","225faf4b22ba9dd709b92c722320c91d","c1b66eaeda1149ca4525279dd0310ccb4222e0d2cd62734ddc19f9f71c276c6a","text/plain","txt"
"log-2017-08-03.txt","2017-08-04 04:59:15 ICT","2017-08-04 05:21:29 ICT","2017-08-04 04:55:16 ICT","2017-08-04 04:55:16 ICT","2032","Allocated","Allocated","unknown","/img_DF011_flight.001/media/0/DJI/dji.pilot/LOG/CACHE/NFZ/log-2017-08-03.txt","73d73a34abb1b9471f1265a631a808b9","126a380badb54d57c7c0cf548f90c6923e7461a88d4cc15f6db0452f37d42125","text/plain","txt"
"log-2017-08-03.txt","2017-08-04 04:58:52 ICT","2017-08-04 05:21:29 ICT","2017-08-04 04:55:26 ICT","2017-08-04 04:55:26 ICT","132","Allocated","Allocated","unknown","/img_DF011_flight.001/media/0/DJI/dji.pilot/LOG/CACHE/popup/log-2017-08-03.txt","0512922ca784fcf832ff564ae50e2c02","80c6b872c73c393469b4e67339b1456347fb26cab03abe45b22bac7be6958420","text/plain","txt"
"log-2017-08-03.txt","2017-08-04 04:58:53 ICT","2017-08-04 05:21:29 ICT","2017-08-04 04:58:01 ICT","2017-08-04 04:58:01 ICT","3902","Allocated","Allocated","unknown","/img_DF011_flight.001/media/0/DJI/dji.pilot/LOG/CACHE/FlagInfo/log-2017-08-03.txt","92d532e672f8ca6b4f279cab8be702a4","7468efac07b4a6e8add125c08631cb796c7ebddd0b63fec3e512f677af165bbb","text/plain","txt"
"log-2017-08-03.txt","2017-08-04 04:58:48 ICT","2017-08-04 05:21:29 ICT","2017-08-04 04:58:42 ICT","2017-08-04 04:58:42 ICT","278","Allocated","Allocated","unknown","/img_DF011_flight.001/media/0/DJI/dji.pilot/LOG/CACHE/aviatorU/log-2017-08-03.txt","cdff4294c846c3052a36e649bd56f4de","2dfe8ce5e537c41a6426e847e0c116c6da28ff3366eec89d7fa231eb5de5b9ec","text/plain","txt"
"log-2017-08-03.txt","2017-08-04 04:58:56 ICT","2017-08-04 05:21:29 ICT","2017-08-04 04:58:43 ICT","2017-08-04 04:58:43 ICT","369","Allocated","Allocated","unknown","/img_DF011_flight.001/media/0/DJI/dji.pilot/LOG/CACHE/UpgradeLog/log-2017-08-03.txt","167eacb7b58756fbc3b832e1d3d3be1d","be322ce6baaa0fc4dec849e43c91e13c617cfbd94ad8ea6e52d622dac3b92f6d","text/plain","txt"
"03-08-2017","2017-08-04 05:09:58 ICT","2017-08-04 05:21:29 ICT","2017-08-04 04:58:45 ICT","2017-08-04 04:58:45 ICT","501","Allocated","Allocated","unknown","/img_DF011_flight.001/media/0/DJI/dji.pilot/LOG/ERROR_POP_LOG/03-08-2017","4144c3fb38e8802a63be2233e84c281b","958f9a151570e4ba01bcb00619998526eb4b2c4fc0434f4b4a3e12917e7f324d","text/plain",""
"music.cfg","2017-08-04 04:55:09 ICT","2017-08-04 05:21:29 ICT","2017-08-04 04:55:09 ICT","2017-08-04 04:55:09 ICT","4470","Allocated","Allocated","unknown","/img_DF011_flight.001/media/0/DJI/dji.pilot/editor/music/cfg/music.cfg","833424bb658b2a61a0dee345adc51625","87893100d8ce0eacbf15712f464d5e41abd182b0e4371b55fa37474bc0d12aa1","text/plain","cfg"
"music2.cfg","2017-08-04 04:55:09 ICT","2017-08-04 05:21:29 ICT","2017-08-04 04:55:09 ICT","2017-08-04 04:55:09 ICT","1784","Allocated","Allocated","unknown","/img_DF011_flight.001/media/0/DJI/dji.pilot/editor/music/cfg/music2.cfg","b66327c6f626a76951c9dab86f3872b3","bc1496af6b077572389ecb5b4b7e52f5ab17e7f8a7a3edf60636bee78010a3b6","text/plain","cfg"
"ContextData.xml.bak","2017-08-04 05:28:07 ICT","2017-08-04 05:28:07 ICT","2017-08-04 05:28:07 ICT","2017-08-04 05:28:07 ICT","764","Unallocated","Allocated","unknown","/img_DF011_flight.001/media/0/.DataStorage/ContextData.xml.bak","e2446853d1c1604b9cf72b4567927d50","86b377cefade4cb811f01800913fb19c62e1a91e0b1397bd216ecdef2082a3d7","text/plain","bak"
"uniqueDeviceId.txt","2017-08-04 04:55:02 ICT","2017-08-04 05:21:29 ICT","2017-08-04 04:55:02 ICT","2017-08-04 04:55:02 ICT","36","Allocated","Allocated","unknown","/img_DF011_flight.001/media/0/.here-maps/diskcache-v4/uniqueDeviceId.txt","77305bb7b406948e5072af5af81ab731","af80c57907797eb9d85aaca259667616a22455a49d4bdedc683d2963bf1c8191","text/plain","txt"
"cbf06781.0","2017-08-04 04:55:00 ICT","2017-08-04 05:21:29 ICT","2017-08-04 04:55:00 ICT","2017-08-04 04:55:00 ICT","4438","Allocated","Allocated","unknown","/img_DF011_flight.001/media/0/.here-maps/certs/cbf06781.0","ccf43499a3a7d41d3f66ad3b71c1d800","628d788f8910eee71638322e03b9cd85e8362cf303989bb2a0f3052b60036362","text/plain","0"
"eed8c118.0","2017-08-04 04:55:00 ICT","2017-08-04 05:21:29 ICT","2017-08-04 04:55:00 ICT","2017-08-04 04:55:00 ICT","2786","Allocated","Allocated","unknown","/img_DF011_flight.001/media/0/.here-maps/certs/eed8c118.0","8d82c9da9e2868a0a3cffa4f4a219008","b38779eff3256157d45614d7738d1236723719b2bf8e77ce0328b87370507fd8","text/plain","0"
"4a6481c9.0","2017-08-04 04:55:00 ICT","2017-08-04 05:21:29 ICT","2017-08-04 04:55:00 ICT","2017-08-04 04:55:00 ICT","4639","Allocated","Allocated","unknown","/img_DF011_flight.001/media/0/.here-maps/certs/4a6481c9.0","c55ea769970a1ddc33072011a74af06b","8c5c2db8b5e170364c9cce542cf3d385702b5f28427c277681c085d4c25f2010","text/plain","0"
